id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5880915887476189,0.37199241292611224,4-to-1,0.16313893557984505,0.049552303233535044,0.17665607157964153,-0.25559118464517805,0.039729812125848085,-0.04049109571902481,0.10607540026479377,0.08199051018392943
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5609032132007621,0.4905187076498686,1-to-1,0.6569937276225765,0.11062190742968399,0.5949776562309148,0.11436246369320581,0.2707715139119249,-0.09233097575379517,0.16368813955338746,0.007301992816035929
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.648951902555218,0.5080699783179088,2-to-1,0.552738678791887,-0.16030096259211346,0.5099596863970746,-0.251484312198589,0.2819010394624664,-0.08190628219252424,0.19196698932603662,-0.21288031690654144
58,Matrix A,WebServer,1.0,0.46186434056093467,0.508751780280228,0.4070549670744336,1-to-1,0.19204079256205403,0.08447086321444792,0.3674580860833842,-0.24742009102708334,0.097105136484391,-0.07396805523334117,0.10157150727272156,0.0837077157611553
59,Matrix A,WebServer,1.0,0.36963396623102673,0.4072264436087928,0.3445301896099206,2-to-1,0.18148628615391366,0.05594893979828902,0.23104861890444428,0.11149300028842526,0.06288771347846836,-0.03989423083889894,0.08251210452749075,0.005566125244320383
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.5960491031243198,0.47815393353432584,4-to-1,,,,,,,,
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.6025026260231577,0.5249952034146539,2-to-1,0.3820894476955095,0.11100148431496344,0.37471896452200354,0.09991568542952457,0.17383941332353464,-0.08025848048262502,0.12479221226264223,0.05605761003165563
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.3837760940148746,0.3078674439498791,4-to-1,0.15543023355718436,-0.08245887938433176,0.27444027201088506,-0.04541710817601433,0.059377172412415774,-0.1034249992206359,0.08736268130938478,-0.09057499423160877
63,Matrix B,WebServer,2.0,0.7311332739938902,0.8003275233144616,0.6128833413558675,2-to-1,0.8780371798294418,0.000362934297462904,0.8352694909110983,0.1509539982466234,0.4898354723609222,-0.11872746871852188,0.1737234218343678,-0.10704140330290209
64,Matrix A,WebServer,1.0,0.4843775243854434,0.5334341608804594,0.4513070684722735,2-to-1,0.26164805388114337,0.14425437865112775,0.21946111769357016,0.04168944133179478,0.11835279447065303,-0.06705903591442644,0.09774837558347546,-0.00250567680691276
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.37177723586866346,0.2866054773184703,1-to-1,0.15860494021705937,-0.09644697233985383,0.14532261688113066,-0.25696332334903654,0.050793971102528354,-0.11023024969117538,0.15782632487717813,-0.27374845939203446
66,Matrix B,WebServer,2.0,0.35548132138250854,0.38918671296723917,0.2935461750324152,1-to-1,0.08000703325647286,0.0718015551641273,0.10669269828626003,-0.09892599097376796,0.05259263585806687,-0.0631773989737653,0.0917545074016458,0.2028655534693158
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.4262048080690695,0.17560799450885714,2-to-1,0.34354271083228927,0.04281239315559519,0.4271114665731257,0.04750848862161549,0.11421789485607566,-0.026059491533695,0.0764203972352854,-0.01822039582527914
68,Matrix B,WebServer,2.0,0.2557384943449943,0.28004283763353643,0.2144541891589896,2-to-1,,,,,,,,
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.36383746973327225,0.14366715678488637,1-to-1,0.2812844453438585,0.03348484764831639,0.26004854027087904,0.037552440301393465,0.12747544582789083,-0.01937078321885099,0.07606795398382515,-0.012634208147623706
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5212202108079147,0.330099575627415,4-to-1,0.11708448170128827,0.03635216760659753,0.16534659034374885,-0.33043252373023063,0.03467430901160202,-0.012279856811122284,0.06753305697978937,-0.0438500993401131
71,Matrix A,Hadoop,2.0,0.705462539767861,0.7515459953410408,0.6548652663281526,2-to-1,0.7400709475126667,0.12323807995059421,0.6628873237066086,0.13782862366905688,0.4308758147707703,-0.12553051796687173,0.1533304855533439,0.07609348621382164
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.5113576236102275,0.4102140987443047,4-to-1,0.3723100284683697,-0.14342478144824988,0.3540342544263647,-0.09283131927175224,0.09355261768698173,-0.04072662842215125,0.20054776178068195,-0.2617066848883792
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7570138962368735,0.615048640280582,1-to-1,,,,,,,,
74,Matrix B,WebServer,1.0,0.5909489223635469,0.6472804972795075,0.4956831003056202,2-to-1,0.4730791067902141,0.1311219274257889,0.1948238323978957,0.04835227356052796,0.21350225570905107,-0.07984401739878494,0.17731119155375874,0.04847275235353499
75,Matrix A,WebServer,1.0,0.34691401838273683,0.38209156614687173,0.3232650574373106,2-to-1,0.17170208977697252,0.03813593881168248,0.17616913216814536,0.14707759270181592,0.031878286692391546,-0.019696381903371633,0.08322611683569615,0.0026545912692960494
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5260890943279505,0.3327739881408131,4-to-1,0.14795654838122363,0.08831694005617156,0.13645629429032416,-0.36890776813084264,0.026434286857410335,-0.04702065210231112,0.11325159976050533,0.04458457282449414
77,Matrix B,CacheFollower,1.0,0.47194363451311944,0.47657282314624405,0.38719958552808337,1-to-1,,,,,,,,
78,Matrix A,Hadoop,2.0,0.5159723315456286,0.5304801007181938,0.3359640560797559,4-to-1,0.12286801136018784,0.0473179064280853,0.17400077427669927,-0.3223368759975691,0.03117046467773868,0.018178755499373145,0.06751812698111279,0.0020933769307394674
79,Matrix C,CacheFollower,1.0,0.5450266051642836,0.5563049803845092,0.2704847058456838,4-to-1,0.23914056158981947,0.05585277612677261,1.2283362413888903,-0.15751248895915002,0.4070541728240062,-0.05874523113750079,0.1340879878365013,0.0288446884706347
80,Matrix A,Hadoop,2.0,0.7350793657763435,0.782987523262535,0.6459277917623695,1-to-1,1.1022426236024203,0.1340641153421533,1.7816979252319993,0.41306910478720943,0.4881696158078808,-0.14963412892284964,0.13672391416744056,-0.03464428828332116
81,Matrix C,CacheFollower,2.0,0.6029843876836714,0.6170082385278716,0.26388269312592666,2-to-1,0.5149546430648588,0.11942307916124943,1.4266155998355612,0.1355203021209965,0.5573194199012876,-0.12667910636511098,0.1267535480804712,-0.0021342317730822995
82,Matrix A,Hadoop,1.0,0.37647944685565304,0.4015365277816799,0.33124734169246045,1-to-1,0.22874129444658,0.07566338179074357,0.19071479955310397,0.07905724423409324,0.06035253072552217,-0.04632551807510296,0.09519757979522928,0.07622275005261027
83,Matrix C,CacheFollower,2.0,0.5614672863273176,0.5745245855177679,0.24571324243020157,2-to-1,0.46881784031988605,0.12991194634004855,1.2382106088205702,0.047719700957596846,0.41402377687059727,-0.060474681268328466,0.0830526949651472,0.021000660533867975
84,Matrix A,WebServer,2.0,0.6463781020757684,0.6673078959959025,0.42210002553268344,4-to-1,0.20897063229439758,0.05063064272756623,0.23935078455625544,-0.2850593337264733,0.041642043054603645,-0.0396180138683468,0.10507984683117334,0.039893197492038894
85,Matrix A,CacheFollower,1.0,0.6330249900710475,0.6355315035859637,0.5557888448300776,1-to-1,0.6441841167093487,0.09065012051354118,0.6475742018946749,0.0674856724942648,0.38007349400653345,-0.13286027481189738,0.11172515470256689,0.015375528979584437
86,Matrix C,WebServer,2.0,0.308329956610627,0.3291071170948909,0.1541612794207982,4-to-1,0.2338859199746698,-0.005902610554385398,0.7256039183613264,-0.5793399604241894,0.09214712327846805,-0.02105214011073597,0.134002213559267,-0.025194960323802036
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.5884238035343207,0.25165767372295017,2-to-1,0.4959974583273946,0.1289544144486955,1.2921901310331727,0.015256768632526972,0.4686041153222215,-0.0838445884448092,0.09506062299083615,0.009856394208572535
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5215422095441438,0.21661075414399178,2-to-1,0.5103021985154105,0.03693531598485511,0.4357911472643523,0.11277302236336359,0.15321248406788798,-0.0343129483062521,0.22881389931607538,-0.012073041309489878
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.6234584285044429,0.48062978415544005,1-to-1,0.2260821322651415,-0.038800807954830534,0.3527980965756847,-0.020983355149045944,0.26339870313972324,-0.09726857219164604,0.19829759652458334,-0.19428121771390555
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.5977930286458117,0.4931510648832365,1-to-1,0.5519117159034151,0.2029340024053656,1.040015595234582,0.40404089864163023,0.15440806865407114,-0.06793816191400726,0.10438427138103695,0.03515357183154705
91,Matrix C,WebServer,2.0,0.36708612320760126,0.3918150130607771,0.1627314988391857,2-to-1,0.29215772785394944,-0.0012750660024987393,0.26750882984581525,0.054192403231926,0.090359562074185,-0.024981053403485918,0.1681443795325504,-0.02553779182675219
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.38970517641085456,0.33957254212416554,2-to-1,0.17068844978546888,0.04704348252423395,0.2446786734994178,0.20848153399605776,0.05380855500470812,-0.08665614627702059,0.13695229265161243,-0.03695947604635115
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.36520372540968565,0.2960362006601098,4-to-1,0.19571897002827526,-0.04467355681352674,0.14516884779819916,0.24481553094840977,0.07608073652904301,0.0024313270761639715,0.043461263861690344,-0.03427254625391767
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7286918092125783,0.6021301122372369,2-to-1,1.161117485954978,0.16495476479933766,1.0786361329472238,-0.1612283707044813,0.5822466909183084,-0.20147602120057304,0.3069136661117403,-0.22475458596839587
95,Matrix C,CacheFollower,2.0,0.29252399644765925,0.29932570992765034,0.12801591538356646,2-to-1,0.08062793276852331,0.036662667155827104,0.6325675586972066,0.33637878507986974,0.10031556690397551,-0.024343585434100302,0.048473638871620296,-0.01608399988186528
96,Matrix A,CacheFollower,1.0,0.3928900746943492,0.3944601034158284,0.34496562953394677,1-to-1,0.1789244760715314,0.031139807576992876,0.23402320006689173,0.10139566390624356,0.11856943298292566,-0.06831391837757654,0.08079376147570218,0.061056600361803784
