id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1,bfsz
29,Matrix B,WebServer,1.0,0.518351058647661,0.5279212290725441,0.43329652855480877,2-to-1,0.08863070677282557,-0.017583156188578863,26555.0,0.0,5.672534556192414,40.0
30,Matrix C,WebServer,2.0,0.2625526151749801,0.2738085183549648,0.13110418254979775,4-to-1,0.023191833174386143,0.020359802981439263,18890.0,0.0,9.252640755757962,40.0
31,Matrix C,WebServer,2.0,0.47527916957783684,0.49555750161971035,0.20020120887630471,1-to-1,0.8015358944392685,-0.10375463643332274,5421.0,0.0,10.318245484412259,40.0
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.5700449226534888,0.46679303412940476,2-to-1,0.35739972068608233,-0.26556466934448975,6891.0,0.0,6.631751138539472,40.0
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.28370501457520436,0.23231775350304748,2-to-1,-0.015954424543242033,-0.1626623981184854,18904.0,0.0,8.06530026043863,40.0
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.3992011546042259,0.16273548651023315,1-to-1,0.030079215759453482,-0.0782442179666988,18968.0,1.0,15.954379008469214,40.0
35,Matrix A,WebServer,2.0,0.2630220239195611,0.2765106385322609,0.24656665998860022,2-to-1,0.2989141356353565,-0.07401038321628675,11785.0,1.0,8.598104830441699,40.0
36,Matrix A,WebServer,1.0,0.4189518845598552,0.4268745738592954,0.274310178057828,4-to-1,0.23571983166283142,-0.1126381255753276,11850.0,0.0,14.048621665503703,40.0
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6256956632566842,0.2550666174024014,1-to-1,0.04689207131020355,-0.010298048422987694,25225.0,1.0,18.749047615206138,40.0
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7059739488900355,0.3007508890208525,2-to-1,0.15680768871107006,-0.02457770091948783,7027.0,0.0,5.749937557343069,40.0
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.2706457266553935,0.2514692270127066,2-to-1,0.06095884780528233,-0.09636896035160372,27956.0,1.0,18.493064311980657,40.0
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5322486129328099,0.2267424226861392,2-to-1,0.033831639798079495,-0.0761343441681053,7980.0,0.0,13.050490648328248,40.0
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33254577055776346,0.21369409093095804,4-to-1,0.06012603910466275,-0.2627398207083752,27481.0,1.0,15.120769488358013,40.0
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5618630293742494,0.24314201128375607,2-to-1,0.054536259082921666,0.016230968845698038,15277.0,1.0,10.133354830186171,40.0
43,Matrix C,WebServer,2.0,0.4920141804432579,0.5130852672169132,0.20728228393453274,1-to-1,0.025972586707501067,-0.0637906225327661,29742.0,1.0,6.831783201957377,40.0
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.29401569113025033,0.23901979139944232,4-to-1,0.2520438306827537,0.024571041655286594,10606.0,0.0,7.070152882073373,40.0
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.3194482932912132,0.2576686384368904,4-to-1,1.4564047594121847,-0.05197742340541256,6097.0,1.0,5.638549954473231,40.0
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.5000982817941234,0.42020840161439726,1-to-1,0.020443594677739346,-0.10746348738202798,17948.0,1.0,16.707330256766706,40.0
47,Matrix A,WebServer,2.0,0.6494533494271933,0.661196684703691,0.4248853449951434,4-to-1,0.25987201458223635,-0.1682210371717162,19869.0,0.0,7.6422318484728695,40.0
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.543312053562992,0.44334084767759635,1-to-1,0.08561891435966214,0.013753712806125322,17278.0,0.0,7.2150577818649,40.0
49,Matrix A,WebServer,2.0,0.2777694326655076,0.2919814117608635,0.2603620672998521,2-to-1,0.11782744569244905,-0.17187989480810886,17303.0,0.0,8.578670077293012,40.0
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.6563320510802365,0.5514840825776127,1-to-1,0.18507893682005275,0.06824835846813224,21884.0,0.0,12.812887911097647,40.0
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.45579321488458013,0.2967978559907346,4-to-1,0.09883921185531563,-0.02899990694483533,15928.0,1.0,13.84754720650898,40.0
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6166598019492793,0.2547563724232013,1-to-1,0.0595384478192003,-0.08945569648374925,25178.0,1.0,16.334387792696752,40.0
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7440860266512216,0.3073991250465845,1-to-1,0.12630391699821977,-0.23698686471222744,28561.0,1.0,7.489893761891246,40.0
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.40320785953282573,0.1665744569426098,1-to-1,0.020828068130763728,-0.08930609463270059,14259.0,1.0,12.174763180141593,40.0
55,Matrix A,WebServer,2.0,0.5696093428489593,0.5797191466521132,0.37252783528704475,4-to-1,0.16082475805783675,-0.24533266017645222,29719.0,0.0,12.221380495922972,40.0
56,Matrix A,CacheFollower,2.0,0.5593355068507759,0.5614364979856528,0.49402646430007735,1-to-1,0.22975795737842444,-0.13016156230126397,11622.0,1.0,10.477203993664075,40.0
57,Matrix B,Hadoop,2.0,0.6056914918947001,0.6182224426056929,0.5062441893227462,2-to-1,0.09295562384032044,-0.1649102691021779,12275.0,0.0,13.767284739961978,40.0
58,Matrix A,WebServer,1.0,0.46186434056093467,0.48610345191405774,0.40988988347380834,1-to-1,0.32522206512837365,-0.21914144992302212,9649.0,0.0,10.003689915809415,40.0
59,Matrix A,WebServer,1.0,0.36963396623102673,0.38888270162775457,0.34677296845412536,2-to-1,0.11452839390517743,-0.2228389211670003,29648.0,1.0,19.971145406787933,40.0
60,Matrix B,Hadoop,1.0,0.5831753530088837,0.5893622365373935,0.47538357630915967,4-to-1,0.15421473685060136,-0.020937152051922658,15496.0,1.0,7.19913043922122,40.0
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.5961395316100478,0.5295584428224889,2-to-1,0.4072627425130398,-0.23488728935736783,7812.0,0.0,6.4176542565562595,40.0
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.37933000362954566,0.3059695343681826,4-to-1,0.4013543201984357,-0.09864934923136338,9855.0,1.0,13.331538424462895,40.0
63,Matrix B,WebServer,2.0,0.7311332739938902,0.74408901846797,0.6107182231472366,2-to-1,0.1988264228148208,0.061931474497286615,21863.0,0.0,18.44110285228851,40.0
64,Matrix A,WebServer,1.0,0.4843775243854434,0.509824451154515,0.4546186743862665,2-to-1,0.14785425521624931,-0.1441187581684668,18713.0,0.0,8.757692746122713,40.0
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.3541657616665898,0.28482892602303556,1-to-1,0.04684390629663774,-0.038646423865118934,24187.0,0.0,18.37763972791732,40.0
66,Matrix B,WebServer,2.0,0.35548132138250854,0.3618023036509193,0.291637739645032,1-to-1,0.5983041201924534,-0.09991489195373199,8627.0,1.0,11.80176193854978,40.0
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.4102431321936032,0.1747670532575838,2-to-1,0.018191997423090335,-0.0038606012738870875,20193.0,1.0,12.355145039907509,40.0
68,Matrix B,WebServer,2.0,0.2557384943449943,0.2602780435058261,0.2136257091638966,2-to-1,0.24208106304961974,-0.09107172469245227,11988.0,0.0,6.349706180875994,40.0
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.35022337901824185,0.14276933655226295,1-to-1,-0.0035685450259695223,-0.06846599592962332,14630.0,0.0,6.0757574962936625,40.0
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5153632972063835,0.3311690308663074,4-to-1,0.09748136205712858,-0.13501217781450406,29333.0,1.0,9.655197301058816,40.0
