id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_m_path,p99__ns3__pmn_m_path,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
61,Matrix A,Hadoop,2.0,0.5655960123381027,0.5956178504611828,0.5290325680279611,2-to-1,0.5390739816476793,0.15500203359473974,0.5402894449834705,0.1549878269914361,0.18258783218591124,-0.1371766461571892,1.2266114503338978,-0.363519130590983
62,Matrix B,Hadoop,2.0,0.3755568458443934,0.38272436359049056,0.30782950277623544,4-to-1,0.007890177109968153,0.055892128581270295,0.007890177109968153,0.055892128581270295,0.008729091487486927,-0.05236853465484553,0.008126607588016234,-0.052428832480378336
63,Matrix B,WebServer,2.0,0.7311332739938902,0.8088832507076631,0.6107368123579846,2-to-1,0.019755991408449174,-0.06080776309734567,0.019755991408449174,-0.06080776309734567,0.010652018361440694,-0.33831760754167434,0.020460803551339092,-0.4107592247924153
64,Matrix A,WebServer,1.0,0.4843775243854434,0.5041029451037612,0.45318832889468963,2-to-1,0.28809241914173517,0.18152787118694563,0.29595745753630526,0.1388192865939945,0.0864551078442501,-0.09612851997967167,0.8481496319775248,-0.4755111538386041
65,Matrix B,Hadoop,2.0,0.3469791436046634,0.37986612515141305,0.28521209833681893,1-to-1,0.011729966298826586,0.5766657893764242,0.011729966298826586,0.5766657893764242,0.00837706802490433,-0.05236853465484553,0.008315646938765414,-0.052428832480378336
66,Matrix B,WebServer,2.0,0.35548132138250854,0.39334719744705754,0.2917490216425338,1-to-1,0.026755883767346576,0.3715090567214454,0.026755883767346576,0.3715090567214454,0.0016230836041608919,0.028051853584544234,0.01719270574776462,-0.0396404357757907
67,Matrix C,Hadoop,2.0,0.39717170709244765,0.42408185165076545,0.1747083777430539,2-to-1,0.31936437032126425,0.01161966259536698,0.31936437032126425,0.01161966259536698,0.14168402565226415,-0.029775362486376307,1.5966091825377884,-0.5640376522345145
68,Matrix B,WebServer,2.0,0.2557384943449943,0.2829639970541257,0.21364829774743696,2-to-1,0.006080385058931977,0.2138583433893912,0.006080385058931977,0.2138583433893912,0.0014372906182207386,0.0,0.003874355691050973,-0.1155848134999628
69,Matrix C,Hadoop,2.0,0.3390592231106748,0.36203009313000983,0.14295533360967835,1-to-1,0.2824762267182695,0.0033777404907627167,0.2824762267182695,0.0033777404907627167,0.14300081597565062,-0.021948549626322596,1.2411170604739747,-0.6202394118313163
70,Matrix A,Hadoop,2.0,0.5069716246400675,0.5208051064438921,0.3309851398663476,4-to-1,0.20626748585342072,0.06307781171731576,0.20961846783149707,0.059003963518290736,0.03745265511941769,-0.005849958507908637,0.37029753038505997,-0.49662405723626585
71,Matrix A,Hadoop,2.0,0.705462539767861,0.7428242121980062,0.6597824431828552,2-to-1,1.1975029379122228,0.09749031345923066,1.119535104775267,0.08746563608593945,0.38893001859747434,-0.172297961951901,1.962369203765333,-0.34028729263683116
72,Matrix B,Hadoop,2.0,0.5003988892645248,0.5099559572055563,0.4101633020557801,4-to-1,0.021477901335179465,0.17272645332768408,0.021477901335179465,0.17272645332768408,0.0019212469074382792,-0.0002630933230910011,0.02030407837176129,-0.24220246969825723
73,Matrix B,CacheFollower,1.0,0.7496522051820941,0.7594618334015115,0.6145208004725141,1-to-1,0.020013563740045242,-0.013826536137673135,0.020013563740045242,-0.013826536137673135,0.013239424448166563,-0.008463511509876877,0.019590709065081053,-0.031387143954631706
74,Matrix B,WebServer,1.0,0.5909489223635469,0.6543663589244127,0.4940725225858281,2-to-1,0.01531268006688247,0.5604143405780656,0.01531268006688247,0.5604143405780656,0.008125345600028904,-0.016710094477160615,0.014698379746368813,-0.0544891642308245
75,Matrix A,WebServer,1.0,0.34691401838273683,0.3609366085008988,0.3244818543960278,2-to-1,0.18735083378251136,0.13783465460792813,0.17612961908566366,0.06606146815498261,0.07051091344299555,-0.020253718754846314,0.4815077691175711,-0.5370774038134085
76,Matrix A,WebServer,1.0,0.5090416360434802,0.5222280537752275,0.33244277309396375,4-to-1,0.1260938088810838,0.05343242183464016,0.10815906647467415,0.04095051318653924,0.031322778501310544,-0.04856679452795921,0.33676810577271676,-0.5166978461448221
