id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,p99__ns3__mlsys
122,Matrix A,CacheFollower,2.0,0.6731542124437904,0.6756298474713599,0.5945089532157306,1-to-1,0.5483107035683844,0.1449657789298952,-0.07349859564981448
123,Matrix A,CacheFollower,1.0,0.6950740059962296,0.6983231191464002,0.6488413932740015,2-to-1,0.6298582762558229,0.14275442594330526,-0.2084758550604093
124,Matrix C,CacheFollower,1.0,0.3308091745833327,0.33372177510010553,0.13786815445967743,1-to-1,0.012435777072064575,-0.01561529434299464,-0.6503118322307292
125,Matrix A,Hadoop,2.0,0.30602592697297515,0.3225602012688496,0.2865343914488864,2-to-1,0.07478340830443576,0.02629144280125215,-0.346749586142717
126,Matrix C,Hadoop,2.0,0.4185834677713861,0.4323724288610895,0.20871632415694308,4-to-1,0.07287758071883745,0.026634985500329382,-0.7553182142918419
127,Matrix B,Hadoop,2.0,0.49824011701615384,0.5085771419192391,0.4090104036271317,1-to-1,0.13608135256573184,0.03029631663970486,-0.12560355651782007
128,Matrix C,CacheFollower,1.0,0.45664101386204586,0.46065737219647673,0.22668914138117444,4-to-1,0.02601059833306559,0.0570169757316341,-0.722170421699705
129,Matrix C,Hadoop,1.0,0.39190538186072243,0.40558691362557575,0.19578657974718153,4-to-1,0.06927700638434293,0.028185567951862976,-0.759459587000115
130,Matrix B,CacheFollower,1.0,0.6503440744522004,0.6548692291781056,0.5440383871254266,2-to-1,0.27899910914627524,0.05221898535567059,-0.33165745433352556
131,Matrix A,Hadoop,2.0,0.5180003868085181,0.526591655028662,0.3383842990060595,4-to-1,0.18000793910456522,0.07269520861881058,-0.3546053384970545
132,Matrix A,CacheFollower,2.0,0.3419344937812453,0.3431985359275172,0.3188813346690091,2-to-1,0.13586787218861338,0.05842238240013826,-0.2572303426309
133,Matrix B,CacheFollower,1.0,0.3914071175035624,0.3941260287601652,0.3216055758547203,1-to-1,0.08803774489032315,0.013686918344847561,-0.318315816305505
134,Matrix C,Hadoop,2.0,0.4241574152059473,0.43812570268698375,0.2114935645286456,4-to-1,0.0769618699519639,0.025874210203474413,-0.7556021089568851
135,Matrix A,Hadoop,1.0,0.5683213427477707,0.5995964470551479,0.503811898175458,1-to-1,0.21903582176863562,0.08440072300911025,-0.07156590038358442
136,Matrix A,CacheFollower,1.0,0.4954424477588005,0.4978006225345129,0.46252750430215395,2-to-1,0.21309187089272288,0.07707306469635569,-0.24157041443279645
137,Matrix C,WebServer,2.0,0.3516087802067719,0.36663919880382984,0.14811926081665028,1-to-1,0.062170061205582265,0.03618324257579625,-0.6975333080773696
138,Matrix C,WebServer,1.0,0.6056627327176369,0.6327603838509115,0.267282017984506,2-to-1,0.11471837964276067,0.037207348716373295,-0.7636616749578373
139,Matrix A,CacheFollower,2.0,0.36169084657817685,0.36304306459559554,0.3373197868437975,2-to-1,0.15156678001770216,0.05699291776738211,-0.26052280959448343
140,Matrix C,Hadoop,2.0,0.26457544482013917,0.2732844551362082,0.11642149539279618,2-to-1,0.046134386082156496,-0.005882561818581331,-0.6738797446744055
141,Matrix B,CacheFollower,1.0,0.3146075118311099,0.31525704727719445,0.2562884579836418,4-to-1,0.0684271908231887,0.03172888610829873,-0.3032848756044613
142,Matrix A,Hadoop,2.0,0.6382770065410617,0.6727584812135267,0.5652817048162649,1-to-1,0.34257972325253905,0.12102380916226582,-0.01034039534574449
143,Matrix B,CacheFollower,1.0,0.6195808254213897,0.6238857635404568,0.5182985998257874,2-to-1,0.23873115660876465,0.04305382223393024,-0.3315568968425677
144,Matrix A,Hadoop,2.0,0.3881829176457554,0.39461252711750094,0.2535753882347755,4-to-1,0.082661202627333,0.050690110362575216,-0.33647552883949106
145,Matrix C,WebServer,1.0,0.5497249697782385,0.5744100630620372,0.2750376630863086,4-to-1,0.10528683349148464,0.05079725400754225,-0.7500311455052795
146,Matrix B,WebServer,2.0,0.4873949190368663,0.4960593535552937,0.4071454885454842,2-to-1,0.14960215234517052,0.06969308810461858,-0.3995385626165244
147,Matrix A,Hadoop,1.0,0.3726029934923354,0.3931143231167012,0.3492118100544547,2-to-1,0.09734432174051172,0.020845071495964384,-0.34393914776949197
148,Matrix B,CacheFollower,1.0,0.4402139263202343,0.44111824716553605,0.35860741680501407,4-to-1,0.1297002985737465,0.024448093660643443,-0.3300297267209845
149,Matrix B,Hadoop,2.0,0.492439325719155,0.497371957894119,0.4011827825696003,4-to-1,0.18856393674690416,0.036178827039949533,-0.22762332297057317
