id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.582231368779885,0.2514975386966176,2-to-1,0.07873498648357817,0.041772744002495955,2.690720436737142,0.20616631122751627,0.7813975933765042,-0.045520146704016544
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5168610310146361,0.21528675132128947,2-to-1,0.10268516255250223,0.09295213282839168,2.0177166823820025,0.2906284347617728,0.26454826790252023,-0.4097378470697804
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.6375856929034924,0.4787155458290472,1-to-1,0.18650640717419406,0.05715328907802797,0.8825630312663485,-0.7329768725804573,0.9075201691600888,-0.7592690454108519
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.590940040206878,0.4974036648339277,1-to-1,0.23409783678542373,0.0854311852545348,0.48523124810901835,0.010385199222013473,25.481838352820233,134.97387827635902
91,Matrix C,WebServer,2.0,0.36708612320760126,0.38830028117231147,0.1617376839445103,2-to-1,0.06990738914628877,0.0697192912501244,1.2524318223851427,0.5071326326698793,0.18032136902878065,-0.4826317951501326
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.38524824472301616,0.3421805912868507,2-to-1,0.10510989870884373,0.023311887186838475,0.2421229255850008,0.08531700293924054,12.02616138866814,83.26134497954882
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.3643561242108228,0.29613756570595845,4-to-1,0.13150866373218914,0.03954859366287266,0.41270858384242964,-0.6561099086477898,0.41772797721937,-0.6629137126625517
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7304357469552718,0.6015665911796334,2-to-1,0.5625776638150621,0.08548293844098881,1.750587401748231,-0.8269668851978647,1.7642737257449768,-0.8316543733236231
95,Matrix C,CacheFollower,2.0,0.29252399644765925,0.29616382788296947,0.12792933832666428,2-to-1,0.01882624114622442,0.005893927323061621,0.8673463147572423,0.7090525972690133,0.2981677570801318,-0.2266815002425133
96,Matrix A,CacheFollower,1.0,0.3928900746943492,0.39311294494785537,0.3470764613737656,1-to-1,0.11002945329835913,0.04114999800006407,0.17559221259978336,0.09235583160032529,609.0987219095852,3046.227372025145
97,Matrix B,CacheFollower,2.0,0.7116169967606567,0.7202160523426331,0.5931499345664103,2-to-1,0.5383534195331694,0.08489146826456007,1.6914967652958162,-0.8219069664081345,1.7044274239844728,-0.8266453149533229
98,Matrix A,Hadoop,1.0,0.2909727515998869,0.30642548024316923,0.25792368818465927,1-to-1,0.05739571807021232,0.02531599300817984,0.1639992246205975,0.13982720398055087,2.556365974774454,18.673157385281304
99,Matrix A,WebServer,2.0,0.3360553892659176,0.34961414617925246,0.2977914162644543,1-to-1,0.09098266915792673,0.07862665957702569,0.20278977687244285,0.19312073391150522,6.879625311299652,43.168233396994275
100,Matrix B,CacheFollower,2.0,0.373830321652044,0.37833162356626904,0.31158341586253663,2-to-1,0.11562945547667941,0.022820797315943577,0.5177858506065174,-0.6789690857403801,0.5228410914082011,-0.6840027988648547
101,Matrix C,CacheFollower,1.0,0.41476002394153044,0.4197813227538467,0.18132739264949477,2-to-1,0.01850016574135629,0.04986104305526621,1.2324376092363478,0.3743264536413357,0.3900714072817722,-0.2780606289399255
102,Matrix A,CacheFollower,1.0,0.4932731422127044,0.49645969832620135,0.32132525322469335,4-to-1,0.1412384957570819,0.0842409571752522,0.09623977340728829,0.14732288599030052,79.25349601874625,522.7731416853302
103,Matrix C,WebServer,1.0,0.3493656036161469,0.3694671408928992,0.1745330615452702,4-to-1,0.059871533350887254,0.03827421900990659,1.0901156722126848,0.5599697400345331,0.1601731137800611,-0.49080307569972315
104,Matrix A,CacheFollower,1.0,0.7313691177103281,0.7318137348121613,0.64611284044269,1-to-1,0.5441378353030453,0.1262102660186565,0.6199310934495579,-0.17464058703547794,1310.1818076007366,2684.724939171478
