id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.5950623471519887,0.2527991160442064,2-to-1,0.07760279678284146,0.046362195550810274,0.20160480793982555,0.20578688277364432
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5469260132911333,0.2212480289629138,2-to-1,0.10437333205349719,0.08302677158139038,0.13016589567408104,0.12670244989675386
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.5864292595372808,0.47347215960741645,1-to-1,0.174309910097414,0.05746466726939624,0.15608903201002577,0.055097977543645864
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.6235555308300604,0.49480654711800054,1-to-1,0.20836620564200203,0.07604446829374618,0.1993132189707333,0.09097917451787796
91,Matrix C,WebServer,2.0,0.36708612320760126,0.4108863465933193,0.16621589045585727,2-to-1,0.06875365290559035,0.052667349538510565,0.08332539490795132,0.10167471172258992
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.4064646043244732,0.33981157979255794,2-to-1,0.09891739981836299,0.024515139982500243,0.09794049468158599,0.02601713198849597
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.3678814557730861,0.29664006858285824,4-to-1,0.13051958019187473,0.03526090486704954,0.1274603197049931,0.03364969750610458
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7229673648464457,0.6018948235892166,2-to-1,0.5430924250566921,0.08085589125020105,0.5376229529112844,0.07957243851420875
95,Matrix C,CacheFollower,2.0,0.29252399644765925,0.3026853171329477,0.12858918225018157,2-to-1,0.020408854361002808,0.0042011318893480105,0.07519524841362323,0.30197123097182293
96,Matrix A,CacheFollower,1.0,0.3928900746943492,0.39667814012155167,0.34434718201105224,1-to-1,0.1102584303018967,0.0448059417787642,0.12150172166781781,0.054169787546690044
97,Matrix B,CacheFollower,2.0,0.7116169967606567,0.7128031602431224,0.5934327789033614,2-to-1,0.5175507727436083,0.07753082375482587,0.5148759090034905,0.07626738561988816
98,Matrix A,Hadoop,1.0,0.2909727515998869,0.3237991150924538,0.2569476403902605,1-to-1,0.05684564000859218,0.030860987261148044,0.03625783733966897,0.010871715128885608
99,Matrix A,WebServer,2.0,0.3360553892659176,0.36961604987250174,0.29514886039060734,1-to-1,0.0865645782984784,0.0859675796282745,0.0986486739218563,0.10860121283009315
100,Matrix B,CacheFollower,2.0,0.373830321652044,0.3744479951992724,0.31174064134769985,2-to-1,0.11477075613992746,0.01736212583342251,0.11662580525321889,0.02076405138705584
101,Matrix C,CacheFollower,1.0,0.41476002394153044,0.42581911343212936,0.18089879593590538,2-to-1,0.02047773855965987,0.04719273890947169,0.09728228615585205,0.23031974628356305
102,Matrix A,CacheFollower,1.0,0.4932731422127044,0.4997950266812469,0.3206904418446646,4-to-1,0.14183527277908473,0.08741758205037255,0.14145860583277922,0.07701285917198754
103,Matrix C,WebServer,1.0,0.3493656036161469,0.3880463841764676,0.17557749011430082,4-to-1,0.05815908761834511,0.028861680626709664,0.07604547973163167,0.07338013041094034
104,Matrix A,CacheFollower,1.0,0.7313691177103281,0.7383737756451969,0.6409653144720968,1-to-1,0.5299315478537859,0.12774237450087877,0.5666867478816704,0.14241785518274166
